Script,Model,Query Word,Rank,Neighbor,Similarity
Gurmukhi,Skip-gram,ਗੁਰੂ,3,ਅਰਜਨ,0.6765
Gurmukhi,Skip-gram,ਗੁਰੂ,4,ਹਰਗੋਬਿੰਦ,0.6617
Gurmukhi,Skip-gram,ਗੁਰੂ,5,ਹਰਿਗੋਬਿੰਦ,0.6598
Gurmukhi,Skip-gram,ਨਾਨਕ,1,ਦੇਵ,0.6761
Gurmukhi,Skip-gram,ਨਾਨਕ,2,ਅੰਗਦ,0.5987
Gurmukhi,Skip-gram,ਨਾਨਕ,3,ਸਾਖੀਆਂ,0.5953
Gurmukhi,Skip-gram,ਨਾਨਕ,4,ਅਰਜਨ,0.5867
Gurmukhi,Skip-gram,ਨਾਨਕ,5,ਨਿਰਮਲ,0.5592
Gurmukhi,Skip-gram,ਸਿੱਖ,1,ਸਿੱਖੀ,0.5351
Gurmukhi,Skip-gram,ਸਿੱਖ,2,ਖਾਲਸਾ,0.52
Gurmukhi,Skip-gram,ਸਿੱਖ,3,ਦਸਤੂਰ,0.5158
Gurmukhi,Skip-gram,ਸਿੱਖ,4,ਮੈਕਾਲਿਫ,0.5114
Gurmukhi,Skip-gram,ਸਿੱਖ,5,ਬਾਨੀ,0.5041
Gurmukhi,Skip-gram,ਲਾਹੌਰ,1,ਗੁਜਰਾਂਵਾਲਾ,0.6899
Gurmukhi,Skip-gram,ਲਾਹੌਰ,2,ਰਾਵਲਪਿੰਡੀ,0.6286
Gurmukhi,Skip-gram,ਲਾਹੌਰ,3,ਸਿਆਲਕੋਟ,0.6259
Gurmukhi,Skip-gram,ਲਾਹੌਰ,4,ਸਾਮਰਾਜਸੋਢੀ,0.6201
Gurmukhi,Skip-gram,ਲਾਹੌਰ,5,ਪਠਾਣਾਂ,0.6093
Gurmukhi,Skip-gram,ਮੁੰਬਈ,1,ਦੌੜਾਂ,0.8052
Gurmukhi,Skip-gram,ਮੁੰਬਈ,2,ਮੋਹਾਲੀ,0.8013
Gurmukhi,Skip-gram,ਮੁੰਬਈ,3,ਕੋਲਕਾਤਾ,0.7943
Gurmukhi,Skip-gram,ਮੁੰਬਈ,4,ਲਖਨਊ,0.7887
Gurmukhi,Skip-gram,ਮੁੰਬਈ,5,ਕਲਕੱਤਾ,0.7873
Shahmukhi,CBOW,بھارت,1,پاکستان,0.6541
Shahmukhi,CBOW,بھارت,2,بھارتی,0.6222
Shahmukhi,CBOW,بھارت,3,راجستھان,0.5919
Shahmukhi,CBOW,بھارت,4,برٹس,0.5591
Shahmukhi,CBOW,بھارت,5,بںگال,0.5516
Shahmukhi,CBOW,پاکستان,1,سوبے,0.7077
Shahmukhi,CBOW,پاکستان,2,سںدھ,0.6916
Shahmukhi,CBOW,پاکستان,3,راجستھان,0.681
Shahmukhi,CBOW,پاکستان,4,بلوچستان,0.6668
Shahmukhi,CBOW,پاکستان,5,ہڑپا,0.6635
Shahmukhi,CBOW,پںجاب,1,پںجابی,0.6229
Shahmukhi,CBOW,پںجاب,2,پاکستان,0.6036
Shahmukhi,CBOW,پںجاب,3,ہرآنا,0.5609
Shahmukhi,CBOW,پںجاب,4,پٹآلا,0.5455
Shahmukhi,CBOW,پںجاب,5,سوبے,0.5342
Shahmukhi,CBOW,گرو,1,آپ,0.6274
Shahmukhi,CBOW,گرو,2,پاتساہ,0.6192
Shahmukhi,CBOW,گرو,3,گر,0.6165
Shahmukhi,CBOW,گرو,4,گورو,0.6097
Shahmukhi,CBOW,گرو,5,دےو,0.5822
Shahmukhi,CBOW,نانک,1,ارجن,0.8473
Shahmukhi,CBOW,نانک,2,اںگد,0.8472
Shahmukhi,CBOW,نانک,3,ساہبان,0.7631
Shahmukhi,CBOW,نانک,4,رامداس,0.7431
Shahmukhi,CBOW,نانک,5,دےو,0.7094
Shahmukhi,CBOW,سکھ,1,ہںدو,0.6986
Shahmukhi,CBOW,سکھ,2,کھالسا,0.6504
Shahmukhi,CBOW,سکھ,3,سکھاں,0.6007
Shahmukhi,CBOW,سکھ,4,اسلام,0.5965
Shahmukhi,CBOW,سکھ,5,دھارمک,0.567
Shahmukhi,CBOW,لاہور,1,کلہے,0.8255
Shahmukhi,CBOW,لاہور,2,کلہا,0.7973
Shahmukhi,CBOW,لاہور,3,سرہںد,0.7933
Shahmukhi,CBOW,لاہور,4,دلی,0.7791
Shahmukhi,CBOW,لاہور,5,ساہی,0.7608
Shahmukhi,CBOW,مںبی,1,کولکاتا,0.8546
Shahmukhi,CBOW,مںبی,2,رےلوے,0.7958
Shahmukhi,CBOW,مںبی,3,پنے,0.7918
Shahmukhi,CBOW,مںبی,4,رےل,0.7855
Shahmukhi,CBOW,مںبی,5,چےنی,0.7738
Shahmukhi,Skip-gram,بھارت,1,تتکالین,0.5175
Shahmukhi,Skip-gram,بھارت,2,مےسور,0.5161
Shahmukhi,Skip-gram,بھارت,3,منیپر,0.5073
Shahmukhi,Skip-gram,بھارت,4,ارناچل,0.5039
Shahmukhi,Skip-gram,بھارت,5,ترپرا,0.5032
Shahmukhi,Skip-gram,پاکستان,1,بلوچستان,0.5328
Shahmukhi,Skip-gram,پاکستان,2,پاکستانی,0.4948
Shahmukhi,Skip-gram,پاکستان,3,گلگت,0.4916
Shahmukhi,Skip-gram,پاکستان,4,اسلاماباد,0.4841
Shahmukhi,Skip-gram,پاکستان,5,پستو,0.4789
Shahmukhi,Skip-gram,پںجاب,1,ڈےپھینسن,0.4952
Shahmukhi,Skip-gram,پںجاب,2,لہںدا,0.4833
Shahmukhi,Skip-gram,پںجاب,3,تملناڈو,0.4826
Shahmukhi,Skip-gram,پںجاب,4,چڑہدا,0.4728
Shahmukhi,Skip-gram,پںجاب,5,ماجھا,0.4695
Shahmukhi,Skip-gram,گرو,1,گورو,0.6885
Shahmukhi,Skip-gram,گرو,2,پاتساہ,0.6568
Shahmukhi,Skip-gram,گرو,3,تےگ,0.6407
Shahmukhi,Skip-gram,گرو,4,بےمسال,0.6221
Shahmukhi,Skip-gram,گرو,5,امرداس,0.6208
Shahmukhi,Skip-gram,نانک,1,دےو,0.6541
Shahmukhi,Skip-gram,نانک,2,اںگد,0.6159
Shahmukhi,Skip-gram,نانک,3,ارجن,0.6003
Shahmukhi,Skip-gram,نانک,4,ساکھی,0.5802
Shahmukhi,Skip-gram,نانک,5,ساکھیآں,0.561
Shahmukhi,Skip-gram,سکھ,1,سناتن,0.5037
Shahmukhi,Skip-gram,سکھ,2,یودھے,0.4957
Shahmukhi,Skip-gram,سکھ,3,کھالسا,0.481
Shahmukhi,Skip-gram,سکھ,4,دستور,0.4785
Shahmukhi,Skip-gram,سکھ,5,مسلم,0.4743
Shahmukhi,Skip-gram,لاہور,1,گجراںوالا,0.6008
Shahmukhi,Skip-gram,لاہور,2,بابے,0.5673
Shahmukhi,Skip-gram,لاہور,3,مںٹگمری,0.5639
Shahmukhi,Skip-gram,لاہور,4,سےکھوپرا,0.557
Shahmukhi,Skip-gram,لاہور,5,سرہںد,0.5543
Shahmukhi,Skip-gram,مںبی,1,کںگج,0.7256
Shahmukhi,Skip-gram,مںبی,2,چےنی,0.7027
Shahmukhi,Skip-gram,مںبی,3,نااٹ,0.7025
Shahmukhi,Skip-gram,مںبی,4,رایڈرج,0.6935
Shahmukhi,Skip-gram,مںبی,5,وکٹاں,0.6831
